date,average_temp_degrees,min_temp_degrees,max_temp_degrees,wind_direction_degrees,wind_speed_kph,peak_wind_gust_kph,avg_air_pressure_hPa
2020-12-23,9.6,7.5,10.6,188.0,10.8,29.6,1005.2
2020-12-24,3.9,1.9,6.9,339.0,24.4,42.6,1020.4
2020-12-25,0.9,-0.4,2.3,305.0,15.1,38.9,1030.5
2020-12-26,5.8,1.0,9.3,232.0,23.2,64.8,1016.2
2020-12-27,5.7,1.9,9.0,234.0,23.4,70.4,977.5
2020-12-28,1.6,-0.2,2.8,68.0,9.1,25.9,974.4
2020-12-29,1.3,0.1,2.0,310.0,11.4,24.1,989.8
2020-12-30,1.2,0.1,3.2,287.0,9.3,22.2,1002.5
2020-12-31,-0.7,-2.4,1.2,322.0,8.5,22.2,1005.6
2021-01-01,-0.3,-2.4,2.2,304.0,9.2,20.4,1011.8
2021-01-02,1.3,-0.8,2.5,338.0,11.2,24.1,1016.2
2021-01-03,1.3,-0.7,3.0,17.0,13.7,29.6,1017.7
2021-01-04,1.9,0.9,2.8,24.0,20.4,38.9,1019.8
2021-01-05,1.2,0.2,1.9,13.0,19.2,35.2,1020.4
2021-01-06,1.5,0.0,2.7,8.0,13.6,29.6,1019.9
2021-01-07,-1.2,-2.2,-0.3,305.0,10.1,22.2,1018.7
2021-01-08,-0.8,-2.2,1.0,327.0,6.8,18.5,1018.8
2021-01-09,-0.5,-1.5,1.4,349.0,7.2,18.5,1026.3
2021-01-10,0.3,-1.3,2.5,260.0,9.1,20.4,1026.1
2021-01-11,4.2,0.8,7.4,248.0,20.1,40.8,1018.0
2021-01-12,5.6,0.6,8.6,304.0,15.7,44.5,1014.0
2021-01-13,3.9,0.2,6.8,260.0,8.8,20.4,1018.7
2021-01-14,4.3,0.7,6.8,86.0,13.9,33.3,1017.0
2021-01-15,0.6,-0.7,2.4,18.0,8.3,24.1,1029.8
2021-01-16,3.7,1.1,6.3,218.0,16.4,35.2,1020.1
2021-01-17,3.8,2.6,5.6,290.0,15.6,33.3,1023.4
2021-01-18,4.2,1.6,7.4,230.0,14.4,35.2,1021.1
2021-01-19,9.6,7.8,10.4,229.0,28.2,48.2,1003.9
2021-01-20,9.6,9.0,10.0,202.0,30.2,53.7,988.0
2021-01-20,9.6,9.0,10.0,202.0,30.2,53.7,988.0
2021-01-21,5.4,2.8,8.1,239.0,24.0,55.5,984.6
2021-01-22,2.6,-0.1,5.9,238.0,10.2,24.1,992.1
2021-01-23,0.7,-1.1,2.8,278.0,10.0,25.9,995.5
2021-01-24,-0.9,-2.4,0.5,75.0,11.7,31.5,996.9
2021-01-25,-0.2,-2.9,2.8,299.0,15.1,31.5,1009.5
2021-01-26,1.5,-1.6,5.5,205.0,12.5,29.6,1015.5
2021-01-27,7.2,5.8,8.5,243.0,10.0,24.1,1011.0
2021-01-28,10.2,7.9,12.3,235.0,18.9,46.3,1002.0
2021-01-29,8.7,7.1,9.8,264.0,20.8,42.6,998.1
2021-01-30,4.2,2.2,7.1,84.0,19.6,42.6,997.6
2021-01-31,1.7,-0.1,2.9,72.0,15.7,35.2,998.7
2021-02-01,3.0,2.1,4.0,21.0,10.9,25.9,996.9
2021-02-02,8.5,3.8,11.4,202.0,17.2,35.2,995.2
2021-02-03,7.4,4.5,8.7,240.0,13.7,33.3,996.8
2021-02-04,5.8,3.5,7.7,166.0,11.1,24.1,1008.7
2021-02-05,6.6,5.3,8.6,185.0,8.9,20.4,1008.4
