sleep_log_entry_id,timestamp,overall_score,revitalization_score,duration_sleep_hours,deep_sleep_in_minutes,resting_heart_rate,restlessness,deep_cycle_thirtyDayAvgMinutes,wake_cycle_thirtyDayAvgMinutes,light_cycle_thirtyDayAvgMinutes,rem_cycle_thirtyDayAvgMinutes,deep_cycle_count,wake_cycle_count,light_cycle_count,rem_cycle_count,deep_cycle_minutes,wake_cycle_minutes,light_cycle_minutes,rem_cycle_minutes,sleep_efficiency,total_calories_kcal,total_move_minutes,heart_points,heart_minutes,avg_heart_rate_bpm,step_count
43856642250,2023-12-18,81.0,81.0,7.8,122.0,64.0,0.092890995,101.0,54.0,230.0,95.0,5.0,27.0,28.0,11.0,123.0,68.0,255.0,90.0,87.31343283582089,2616.749645577664,22.0,,,71.36587908269631,2529.0
43850311208,2023-12-17,89.0,89.0,9.717,150.0,65.0,0.071374906,96.0,52.0,223.0,92.0,8.0,43.0,38.0,14.0,150.0,82.0,301.0,132.0,87.66917293233082,2875.99205319861,89.0,19.0,19.0,72.05455177206393,7575.0
43835680872,2023-12-16,67.0,67.0,4.333,73.0,64.0,0.08492201,99.0,54.0,234.0,94.0,3.0,14.0,11.0,6.0,73.0,28.0,120.0,67.0,90.2777777777778,3815.118022309906,133.0,23.0,23.0,82.59659485753996,10503.0
43823373863,2023-12-15,82.0,82.0,7.967,117.0,67.0,0.1017415215398716,97.0,53.0,230.0,95.0,6.0,26.0,27.0,10.0,117.0,69.0,269.0,92.0,87.38574040219378,2979.5980915221867,74.0,15.0,15.0,73.05177206393329,6357.0
43810651982,2023-12-14,74.0,74.0,7.85,103.0,65.0,0.1090225563909774,96.0,50.0,229.0,89.0,4.0,22.0,23.0,10.0,103.0,70.0,231.0,137.0,87.06099815157117,2693.623371789761,40.0,7.0,7.0,77.34607366226547,3873.0
43805110242,2023-12-13,90.0,90.0,8.267,101.0,68.0,0.094850949,95.0,49.0,223.0,83.0,3.0,32.0,31.0,8.0,101.0,58.0,270.0,125.0,89.53068592057761,2909.33404415974,108.0,62.0,62.0,74.99027102154274,10488.0
43792305789,2023-12-12,84.0,84.0,7.65,130.0,70.0,0.088068182,88.0,45.0,224.0,77.0,5.0,32.0,27.0,15.0,130.0,69.0,218.0,111.0,86.93181818181817,2535.380185320671,35.0,6.0,6.0,74.70813064628214,3323.0
43767336370,2023-12-10,66.0,66.0,6.25,74.0,69.0,0.081081081,91.0,43.0,218.0,82.0,3.0,27.0,26.0,8.0,74.0,53.0,245.0,56.0,87.61682242990653,2445.414854982406,86.0,31.0,31.0,85.42837273991655,8607.0
43758582185,2023-12-09,71.0,71.0,6.667,84.0,66.0,0.076490439,94.0,39.0,207.0,88.0,2.0,27.0,26.0,6.0,84.0,54.0,251.0,65.0,88.10572687224669,2674.585709967229,57.0,19.0,19.0,83.43606671299514,5798.0
43745299172,2023-12-08,85.0,85.0,8.75,131.0,66.0,0.093344857,75.0,31.0,189.0,57.0,5.0,35.0,29.0,16.0,131.0,54.0,244.0,150.0,90.67357512953367,2575.6958654487667,58.0,18.0,18.0,77.04204308547602,5448.0
43732035098,2023-12-07,64.0,64.0,3.167,60.0,65.0,0.047858942,90.0,36.0,273.0,89.0,3.0,9.0,10.0,2.0,60.0,26.0,105.0,25.0,87.96296296296296,3041.6803546652604,104.0,30.0,30.0,77.08095899930507,8969.0
43723364452,2023-12-06,84.0,84.0,7.533,89.0,66.0,0.071721311,103.0,59.0,213.0,94.0,3.0,19.0,20.0,9.0,90.0,36.0,273.0,89.0,92.62295081967213,3816.0102085607177,229.0,203.0,134.0,77.70569840166783,15461.0
43723364452,2023-12-06,84.0,84.0,7.533,89.0,66.0,0.071721311,0.0,0.0,0.0,0.0,3.0,19.0,20.0,9.0,90.0,36.0,273.0,89.0,92.62295081967213,3816.0102085607177,229.0,203.0,134.0,77.70569840166783,15461.0
43711658796,2023-12-05,82.0,82.0,6.633,106.0,67.0,0.084745763,103.0,60.0,214.0,94.0,5.0,27.0,26.0,9.0,107.0,44.0,201.0,90.0,90.04524886877829,3080.11442896611,76.0,19.0,19.0,75.32383599722029,7050.0
43687844730,2023-12-03,76.0,76.0,6.183,107.0,67.0,0.1031286210892236,103.0,60.0,218.0,93.0,5.0,28.0,25.0,10.0,107.0,60.0,158.0,106.0,86.07888631090486,2333.4217477707925,21.0,,,72.27794871794872,2271.0
43664267383,2023-12-01,82.0,82.0,8.317,113.0,66.0,0.1102497846683893,102.0,59.0,213.0,92.0,3.0,33.0,30.0,13.0,113.0,81.0,285.0,101.0,86.03448275862068,2781.0610367073064,139.0,50.0,50.0,74.40521978021978,12096.0
43640852606,2023-11-29,86.0,86.0,7.633,149.0,68.0,0.082778306,98.0,58.0,213.0,91.0,9.0,22.0,22.0,9.0,149.0,69.0,204.0,105.0,86.90702087286527,2846.1624252909423,62.0,14.0,14.0,79.49334377447141,5613.0
43629638006,2023-11-28,63.0,63.0,4.3,72.0,68.0,0.053540587,100.0,60.0,218.0,97.0,5.0,12.0,16.0,4.0,72.0,31.0,157.0,29.0,89.27335640138409,2837.8288966149453,62.0,19.0,19.0,76.32765809589993,5888.0
43606588981,2023-11-26,79.0,79.0,8.05,123.0,65.0,0.1375899280575539,98.0,59.0,215.0,96.0,7.0,35.0,32.0,16.0,123.0,74.0,249.0,111.0,86.71454219030521,2464.9280589839937,65.0,17.0,17.0,76.57465825446899,6190.0
43587140792,2023-11-24,71.0,71.0,5.567,62.0,66.0,0.074646075,102.0,60.0,217.0,98.0,2.0,19.0,17.0,9.0,62.0,54.0,201.0,71.0,86.08247422680412,2608.1155109801903,80.0,30.0,30.0,74.13060781476122,7231.0
43558486928,2023-11-21,88.0,88.0,8.033,109.0,67.0,0.099820144,101.0,58.0,214.0,94.0,3.0,32.0,32.0,11.0,109.0,77.0,242.0,131.0,86.22540250447227,2986.1144502518323,114.0,104.0,63.0,73.31205420827389,7648.0
43531039886,2023-11-19,84.0,84.0,7.133,132.0,69.0,0.099691675,97.0,57.0,214.0,95.0,4.0,17.0,17.0,9.0,132.0,59.0,210.0,86.0,87.88501026694045,2302.3614661703045,30.0,10.0,10.0,,3170.0
43522525967,2023-11-18,63.0,63.0,6.5,97.0,66.0,0.1080213903743315,97.0,54.0,212.0,101.0,3.0,16.0,18.0,3.0,97.0,77.0,231.0,62.0,83.5117773019272,3047.655794034678,71.0,27.0,27.0,,6527.0
43512040211,2023-11-17,80.0,80.0,7.75,103.0,67.0,0.085930123,96.0,52.0,201.0,101.0,3.0,29.0,26.0,11.0,103.0,65.0,263.0,99.0,87.73584905660378,2808.286844107864,40.0,17.0,15.0,,3860.0
43426496026,2023-11-10,86.0,86.0,6.983,136.0,68.0,0.076335878,86.0,55.0,215.0,93.0,6.0,21.0,18.0,15.0,136.0,39.0,147.0,136.0,91.48471615720524,2320.091327575314,37.0,18.0,18.0,,3710.0
43415583516,2023-11-09,80.0,80.0,6.333,70.0,68.0,0.052694611,91.0,58.0,228.0,80.0,4.0,20.0,22.0,9.0,71.0,45.0,177.0,132.0,89.41176470588236,2660.3980269086646,71.0,24.0,24.0,,6398.0
43399850086,2023-11-08,79.0,79.0,7.883,84.0,68.0,0.1017576318223866,94.0,54.0,201.0,67.0,5.0,32.0,28.0,13.0,85.0,67.0,282.0,106.0,87.5925925925926,2669.9143059706803,102.0,46.0,46.0,,9484.0
43386356969,2023-11-07,79.0,79.0,7.317,98.0,68.0,0.1116600790513833,89.0,37.0,146.0,47.0,5.0,26.0,30.0,11.0,98.0,71.0,255.0,86.0,86.07843137254902,3433.04028485434,157.0,191.0,110.0,,7680.0
43379265582,2023-11-06,69.0,69.0,4.7,88.0,68.0,0.09076175,96.0,51.0,206.0,83.0,2.0,20.0,15.0,8.0,89.0,37.0,146.0,47.0,88.40125391849529,2642.298389329812,57.0,25.0,25.0,,5485.0
43379265582,2023-11-06,69.0,69.0,4.7,88.0,68.0,0.09076175,0.0,0.0,0.0,0.0,2.0,20.0,15.0,8.0,89.0,37.0,146.0,47.0,88.40125391849529,2642.298389329812,57.0,25.0,25.0,,5485.0
43369074116,2023-11-05,72.0,72.0,,59.0,68.0,0.075601375,,,,,,,,,,,,,86.5979381443299,2847.8606915644805,45.0,54.0,30.0,,2316.0
43347310349,2023-11-03,69.0,69.0,4.633,93.0,69.0,0.089644513,96.0,51.0,211.0,85.0,3.0,17.0,15.0,7.0,93.0,45.0,129.0,56.0,86.06811145510835,3720.2658976792823,186.0,294.0,159.0,,5542.0
43331736082,2023-11-02,81.0,81.0,9.083,147.0,67.0,0.1369975389663658,93.0,50.0,206.0,83.0,6.0,31.0,29.0,15.0,147.0,67.0,287.0,111.0,89.05228758169935,3048.9011382797657,79.0,16.0,16.0,,7419.0
43240731000,2023-10-25,65.0,65.0,4.683,114.0,66.0,0.1026438569206843,92.0,51.0,212.0,85.0,3.0,17.0,17.0,3.0,114.0,40.0,113.0,54.0,87.53894080996885,2350.03011075767,44.0,21.0,21.0,,4653.0
43229461577,2023-10-24,81.0,81.0,6.167,106.0,66.0,0.064476886,91.0,51.0,215.0,84.0,4.0,20.0,19.0,7.0,106.0,44.0,168.0,96.0,89.3719806763285,2661.7965823200443,48.0,20.0,20.0,,4774.0
